area,beds,full_baths,1.5_baths,price
3259,4,4,1,2995000
2519,2,2,1,1180000
691,1,1,0,419999
3087,4,4,0,3199000
3588,4,3,1,3298000
4097,4,4,1,3295000
2041,3,2,0,4850000
1980,3,2,0,1875000
2972,4,4,1,5699000
5410,4,3,1,4800000
1793,3,2,0,1248000
3255,4,2,1,2395000
6000,7,5,0,16980000
631,1,1,0,500000
764,1,1,0,445000
3116,4,3,1,3500000
1464,2,2,0,849000
1673,3,2,1,1795000
2609,5,3,0,2594000
2000,4,3,0,2495000
1017,2,2,0,684995
920,2,2,0,750000
5233,6,5,0,2695000
,2,1,0,2295000
3078,4,4,0,3500000
8927,6,5,4,12500000
3406,3,3,1,4495000
3143,3,3,1,3749000
6549,6,6,2,7995000
4457,6,8,0,7995000
8228,8,8,2,8875000
2106,3,3,0,1949000
,6,5,0,2850000
2465,3,3,0,1495000
2075,3,2,1,3330000
1140,2,2,1,605000
2005,3,3,1,1725000
4750,4,4,1,6998000
5298,4,4,1,4268000
2230,2,2,1,2760000
7142,6,7,1,4300000
3276,4,4,0,2990000
9200,6,6,1,12795000
3188,4,4,1,9800000
3188,4,4,1,15900000
1648,2,2,0,1395000
3480,4,3,1,3195000
691,1,1,0,439000
12628,7,8,2,22995000
5000,6,4,1,4600000
2766,4,3,0,7800000
6675,5,7,1,5385000
5080,5,4,1,3300000
4614,5,4,1,3675000
2488,5,4,1,2295000
,4,4,1,2295000
2292,4,3,0,2400000
1646,2,2,0,1289000
691,1,1,0,429000
2528,4,3,1,3795000
4293,5,4,1,4998000
6528,6,6,1,4995000
2610,4,3,0,2695000
2286,3,2,1,2695000
4107,5,5,1,4295000
3542,8,3,1,2100000
7792,8,6,3,12995000
8236,6,4,1,6995000
11449,7,6,0,22995000
8078,7,8,2,17900000
8878,5,5,3,25000000
3670,4,4,1,3385000
3250,4,4,2,1850000
1997,3,2,0,2399000
5789,5,3,1,6980000
2061,3,2,0,1475000
8300,7,6,1,6595000
1899,4,2,1,1779000
8694,5,7,2,12000000
