,area,beds,n_baths,price
0,3259.0,4.0,5.5,2995000
1,2519.0,2.0,3.5,1180000
2,691.0,1.0,1.5,419999
3,3087.0,4.0,4.5,3199000
4,3588.0,4.0,4.5,3298000
5,4097.0,4.0,5.5,3295000
6,2041.0,3.0,2.5,4850000
7,1980.0,3.0,2.5,1875000
8,2972.0,4.0,5.5,5699000
9,5410.0,4.0,4.5,4800000
10,1793.0,3.0,2.5,1248000
11,3255.0,4.0,3.5,2395000
12,6000.0,7.0,5.5,16980000
13,631.0,1.0,1.5,500000
14,764.0,1.0,1.5,445000
15,3116.0,4.0,4.5,3500000
16,1464.0,2.0,2.5,849000
17,1673.0,3.0,3.5,1795000
18,2609.0,5.0,3.5,2594000
19,2000.0,4.0,3.5,2495000
20,1017.0,2.0,2.5,684995
21,920.0,2.0,2.5,750000
22,5233.0,6.0,5.5,2695000
23,3078.0,4.0,4.5,3500000
24,8927.0,6.0,9.5,12500000
25,3406.0,3.0,4.5,4495000
26,3143.0,3.0,4.5,3749000
27,6549.0,6.0,8.5,7995000
28,4457.0,6.0,8.5,7995000
29,8228.0,8.0,10.5,8875000
30,2106.0,3.0,3.5,1949000
31,2465.0,3.0,3.5,1495000
32,2075.0,3.0,3.5,3330000
33,1140.0,2.0,3.5,605000
34,2005.0,3.0,4.5,1725000
35,4750.0,4.0,5.5,6998000
36,5298.0,4.0,5.5,4268000
37,2230.0,2.0,3.5,2760000
38,7142.0,6.0,8.5,4300000
39,3276.0,4.0,4.5,2990000
40,9200.0,6.0,7.5,12795000
41,3188.0,4.0,5.5,9800000
42,3188.0,4.0,5.5,15900000
43,1648.0,2.0,2.5,1395000
44,3480.0,4.0,4.5,3195000
45,691.0,1.0,1.5,439000
47,5000.0,6.0,5.5,4600000
48,2766.0,4.0,3.5,7800000
49,6675.0,5.0,8.5,5385000
50,5080.0,5.0,5.5,3300000
51,4614.0,5.0,5.5,3675000
52,2488.0,5.0,5.5,2295000
53,2292.0,4.0,3.5,2400000
54,1646.0,2.0,2.5,1289000
55,691.0,1.0,1.5,429000
56,2528.0,4.0,4.5,3795000
57,4293.0,5.0,5.5,4998000
58,6528.0,6.0,7.5,4995000
59,2610.0,4.0,3.5,2695000
60,2286.0,3.0,3.5,2695000
61,4107.0,5.0,6.5,4295000
62,3542.0,8.0,4.5,2100000
63,7792.0,8.0,9.5,12995000
64,8236.0,6.0,5.5,6995000
66,8078.0,7.0,10.5,17900000
67,8878.0,5.0,8.5,25000000
68,3670.0,4.0,5.5,3385000
69,3250.0,4.0,6.5,1850000
70,1997.0,3.0,2.5,2399000
71,5789.0,5.0,4.5,6980000
72,2061.0,3.0,2.5,1475000
73,8300.0,7.0,7.5,6595000
74,1899.0,4.0,3.5,1779000
75,8694.0,5.0,9.5,12000000
76,3299.0,7.0,8.5,4950000
77,2624.0,3.0,4.5,4995000
78,2601.0,4.0,3.5,1495000
79,691.0,1.0,1.5,429000
80,2608.0,3.0,3.5,3200000
81,3700.0,4.0,4.5,3950000
82,3154.0,4.0,5.5,1549000
83,5139.0,4.0,5.5,13595000
84,3413.0,5.0,4.5,2295000
85,1993.0,3.0,2.5,2179000
86,1941.0,3.0,2.5,1895000
87,1950.0,2.0,2.5,2495000
88,1799.0,2.0,2.5,2150000
89,991.0,1.0,2.5,1575000
90,3225.0,4.0,4.5,2595000
91,5687.0,5.0,6.5,3695000
92,6727.0,5.0,8.5,5395000
93,8331.0,6.0,7.5,7499000
